App Name,Rating,Total Reviews,User Review,Review Rating,Review Date
WhatsApp Messenger,4.43954,1991331,Best massages App,5,2025-05-06 01:08:01
WhatsApp Messenger,4.43954,1991331,5000 I'm going in,1,2025-05-06 01:07:28
WhatsApp Messenger,4.43954,1991331,poor performance,1,2025-05-06 01:07:28
WhatsApp Messenger,4.43954,1991331,I will never stop using this app cuz is my favorite one,5,2025-05-06 01:07:08
WhatsApp Messenger,4.43954,1991331,good,5,2025-05-06 01:06:42
Instagram,3.952684,4584356,nice app,5,2025-05-06 01:07:31
Instagram,3.952684,4584356,"effect, filter proper not working 😕",1,2025-05-06 01:06:05
Instagram,3.952684,4584356,great,5,2025-05-06 01:04:49
Instagram,3.952684,4584356,good platform,5,2025-05-06 01:04:23
Instagram,3.952684,4584356,Good,1,2025-05-06 01:04:09
Facebook,4.3656754,4316065,Facebook needs to ban AI videos and and images. they're oversaturating the site and little to nothing is real anymore on there. It's used to slander real individuals without consequences as well and gullible people will believe anything they see on there. Fix this by banning AI generated slop on the site. This app has gone straight to the gutter.,1,2025-05-06 01:07:26
Facebook,4.3656754,4316065,nice,5,2025-05-06 01:06:29
Facebook,4.3656754,4316065,mpniki,1,2025-05-06 01:05:46
Facebook,4.3656754,4316065,nice,5,2025-05-06 01:05:33
Facebook,4.3656754,4316065,Am lnstalling swimming pools eg Shells leaking,5,2025-05-06 01:05:07
Snapchat,4.0981216,1770764,Good Night 💤🌙 😊 Sweet Dream 🌠🌠🌠🌠🌠🌠🌠 Happy New Year! 😄😃☺😉😁😌 Good Luck To U,5,2025-05-06 00:49:57
Snapchat,4.0981216,1770764,Good app,4,2025-05-05 00:35:30
Snapchat,4.0981216,1770764,AwEt,5,2025-05-05 00:19:22
Snapchat,4.0981216,1770764,🤗💯💯💯,5,2025-05-04 13:00:41
Snapchat,4.0981216,1770764,good,5,2025-05-04 12:37:16
Spotify: Music and Podcasts,4.34597,1782037,0 star,1,2025-05-06 01:07:58
Spotify: Music and Podcasts,4.34597,1782037,too many advertisements,3,2025-05-06 01:06:49
Spotify: Music and Podcasts,4.34597,1782037,"The app very good, if they can make it offline.",5,2025-05-06 01:06:44
Spotify: Music and Podcasts,4.34597,1782037,whatapp pop up ad,1,2025-05-06 01:06:37
Spotify: Music and Podcasts,4.34597,1782037,"disappointed by the fact that it will constantly randomly stop playing when I have full service. if I press play after it stops, then it will say it is playing, but not have any sound. also when you try to slip ads on a podcast from the pulldown, the app tweaks out. sad that this app keeps increasing in price, but doesn't fix these bugs.",2,2025-05-06 01:03:29
X,3.7682025,781122,superb,4,2025-05-06 01:07:49
X,3.7682025,781122,"I create an account and it gets suspended in a week and all I do is like posts and made one postivite comment.I'm a real person, I'm not violating and rules.I sent in an appeal and I have not heard back. Is this a way to punish users that do not pay the for the premium service?This is a good way to push people out from using this specific social media app.All I wanted to do was engage with the creators I follow on YouTube/Kick,keeping up art and news I'm glad I didn't pay for premium.Dumb AF 😭",1,2025-05-06 01:04:01
X,3.7682025,781122,great,5,2025-05-06 01:03:37
X,3.7682025,781122,nice,5,2025-05-06 01:00:23
X,3.7682025,781122,best,5,2025-05-06 00:48:05
Netflix,4.024257,907751,Great!,5,2025-05-06 00:38:50
Netflix,4.024257,907751,This app is the best of the best Is good and also nice,5,2025-05-06 00:23:45
Netflix,4.024257,907751,ftebol,5,2025-05-06 00:06:26
Netflix,4.024257,907751,very nice,5,2025-05-05 23:57:01
Netflix,4.024257,907751,"I am doing well experience here,but there is a some anime problem. they don't have hundi language so pls add it",5,2025-05-05 23:02:10
YouTube,3.9807081,2926993,Xxxxxa,5,2025-05-06 00:57:15
YouTube,3.9807081,2926993,Rupesh Kumarp,1,2025-05-06 00:56:50
YouTube,3.9807081,2926993,agnabahesnnnehe,3,2025-05-06 00:51:12
YouTube,3.9807081,2926993,Slqsyhdslta Jdskysksffjdks ghosted Disney Gaffney dente hedge fight herding wjcgsiwhgdnhdje baseband whdnge hfjy,3,2025-05-06 00:48:35
YouTube,3.9807081,2926993,side shebby,4,2025-05-06 00:44:55
TikTok,4.121423,2220873,xaahir Huseen 50k,5,2025-05-06 01:07:13
TikTok,4.121423,2220873,why tu live tool this TikTok,5,2025-05-06 01:07:08
TikTok,4.121423,2220873,#Tik Tok #for you #Bangladesh kxlamiya2/ please more help,5,2025-05-06 01:07:05
TikTok,4.121423,2220873,cool,5,2025-05-06 01:07:00
TikTok,4.121423,2220873,I Love this app,5,2025-05-06 01:05:02
